sessionId,completedAt,familiarity,comparisonId,comparison_type,theme,poemA_id,poemB_id,original_condition_A,original_condition_B,displayed_left_poem_id,displayed_right_poem_id,displayed_left_condition,displayed_right_condition,stronger_overall_answer,stronger_overall_selected_poem_id,stronger_overall_selected_condition,emotional_impact_answer,emotional_impact_selected_poem_id,emotional_impact_selected_condition,originality_answer,originality_selected_poem_id,originality_selected_condition,like_answer,like_selected_poem_id,like_selected_condition,human_authorship_answer,human_authorship_selected_poem_id,human_authorship_selected_condition,timestamp
sess_rzepk1a9_1774289816769,2026-03-23T19:00:03.823Z,very_familiar,comp-42,Guideline_vs_Persona,Hope,Hope-Guideline-2,Hope-Persona-2,Guideline,Persona,Hope-Persona-2,Hope-Guideline-2,Persona,Guideline,B,Hope-Guideline-2,Guideline,B,Hope-Guideline-2,Guideline,B,Hope-Guideline-2,Guideline,B,Hope-Guideline-2,Guideline,Both,BOTH,BOTH,2026-03-23T18:29:33.901Z
sess_rzepk1a9_1774289816769,2026-03-23T19:00:03.823Z,very_familiar,comp-18,Baseline_vs_Guideline,Grief,Grief-Baseline-3,Grief-Guideline-3,Baseline,Guideline,Grief-Baseline-3,Grief-Guideline-3,Baseline,Guideline,B,Grief-Guideline-3,Guideline,B,Grief-Guideline-3,Guideline,B,Grief-Guideline-3,Guideline,B,Grief-Guideline-3,Guideline,Both,BOTH,BOTH,2026-03-23T18:30:23.685Z
sess_rzepk1a9_1774289816769,2026-03-23T19:00:03.823Z,very_familiar,comp-27,Guideline_vs_Persona,Grief,Grief-Guideline-2,Grief-Persona-2,Guideline,Persona,Grief-Persona-2,Grief-Guideline-2,Persona,Guideline,A,Grief-Persona-2,Persona,B,Grief-Guideline-2,Guideline,B,Grief-Guideline-2,Guideline,B,Grief-Guideline-2,Guideline,Both,BOTH,BOTH,2026-03-23T18:59:56.849Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-32,Baseline_vs_Guideline,Hope,Hope-Baseline-2,Hope-Guideline-2,Baseline,Guideline,Hope-Guideline-2,Hope-Baseline-2,Guideline,Baseline,B,Hope-Baseline-2,Baseline,A,Hope-Guideline-2,Guideline,B,Hope-Baseline-2,Baseline,B,Hope-Baseline-2,Baseline,A,Hope-Guideline-2,Guideline,2026-03-22T13:55:46.456Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-12,Guideline_vs_Persona,Longing,Longing-Guideline-2,Longing-Persona-2,Guideline,Persona,Longing-Persona-2,Longing-Guideline-2,Persona,Guideline,A,Longing-Persona-2,Persona,B,Longing-Guideline-2,Guideline,A,Longing-Persona-2,Persona,A,Longing-Persona-2,Persona,A,Longing-Persona-2,Persona,2026-03-22T14:00:52.720Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-04,Baseline_vs_Guideline,Longing,Longing-Baseline-4,Longing-Guideline-4,Baseline,Guideline,Longing-Guideline-4,Longing-Baseline-4,Guideline,Baseline,A,Longing-Guideline-4,Guideline,A,Longing-Guideline-4,Guideline,A,Longing-Guideline-4,Guideline,A,Longing-Guideline-4,Guideline,A,Longing-Guideline-4,Guideline,2026-03-22T14:04:33.074Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-18,Baseline_vs_Guideline,Grief,Grief-Baseline-3,Grief-Guideline-3,Baseline,Guideline,Grief-Guideline-3,Grief-Baseline-3,Guideline,Baseline,A,Grief-Guideline-3,Guideline,A,Grief-Guideline-3,Guideline,Both equally,BOTH,BOTH,A,Grief-Guideline-3,Guideline,Both,BOTH,BOTH,2026-03-22T14:06:00.348Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-19,Baseline_vs_Guideline,Grief,Grief-Baseline-4,Grief-Guideline-4,Baseline,Guideline,Grief-Guideline-4,Grief-Baseline-4,Guideline,Baseline,A,Grief-Guideline-4,Guideline,A,Grief-Guideline-4,Guideline,B,Grief-Baseline-4,Baseline,Both equally,BOTH,BOTH,B,Grief-Baseline-4,Baseline,2026-03-22T14:08:29.832Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-07,Baseline_vs_Persona,Longing,Longing-Baseline-2,Longing-Persona-2,Baseline,Persona,Longing-Persona-2,Longing-Baseline-2,Persona,Baseline,B,Longing-Baseline-2,Baseline,B,Longing-Baseline-2,Baseline,B,Longing-Baseline-2,Baseline,B,Longing-Baseline-2,Baseline,B,Longing-Baseline-2,Baseline,2026-03-22T14:10:18.455Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-31,Baseline_vs_Guideline,Hope,Hope-Baseline-1,Hope-Guideline-1,Baseline,Guideline,Hope-Guideline-1,Hope-Baseline-1,Guideline,Baseline,B,Hope-Baseline-1,Baseline,B,Hope-Baseline-1,Baseline,B,Hope-Baseline-1,Baseline,B,Hope-Baseline-1,Baseline,B,Hope-Baseline-1,Baseline,2026-03-22T14:11:19.783Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-24,Baseline_vs_Persona,Grief,Grief-Baseline-4,Grief-Persona-4,Baseline,Persona,Grief-Baseline-4,Grief-Persona-4,Baseline,Persona,A,Grief-Baseline-4,Baseline,A,Grief-Baseline-4,Baseline,A,Grief-Baseline-4,Baseline,A,Grief-Baseline-4,Baseline,B,Grief-Persona-4,Persona,2026-03-22T14:13:59.834Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-42,Guideline_vs_Persona,Hope,Hope-Guideline-2,Hope-Persona-2,Guideline,Persona,Hope-Persona-2,Hope-Guideline-2,Persona,Guideline,B,Hope-Guideline-2,Guideline,A,Hope-Persona-2,Persona,B,Hope-Guideline-2,Guideline,B,Hope-Guideline-2,Guideline,B,Hope-Guideline-2,Guideline,2026-03-22T14:16:18.370Z
